pig_id,sample,label,EIT,NIRS,EIS
1,1,0,14.49987554,76.93086025,496.9310778
1,2,0,14.59657502,73.93188064,498.5717828
1,3,0,14.65116009,75.32776811,492.5179429
1,4,0,14.54054166,73.92442214,484.689588
1,5,0,14.57405449,75.74121829,485.962522
1,6,0,14.52843447,73.79629874,495.7663613
1,7,0,14.40582326,74.8821993,497.8056159
1,8,0,14.55987101,77.15949804,499.7482472
1,9,0,14.53203392,76.40816753,502.2122276
1,10,0,14.4572487,74.58832117,498.5018584
1,11,0,14.46974206,75.90023331,499.2274308
1,12,0,14.69946293,76.35840647,499.813984
1,13,0,14.74242889,75.07035474,509.9774107
1,14,0,14.872398,74.14567875,501.60083
1,15,0,14.87421201,75.57187202,503.6102387
1,16,0,14.67621947,78.94080424,495.9399897
1,17,1,14.63759427,78.53898393,489.1418001
1,18,1,14.81180489,75.54694453,491.216991
1,19,1,14.72734961,75.9146905,499.2981071
1,20,1,14.84268857,74.638919,499.8510556
1,21,1,15.05025236,69.12140412,504.1714224
1,22,1,14.94847903,71.11627515,499.894585
1,23,1,14.86454001,72.14471965,496.8645875
1,24,1,14.77914513,71.48738886,504.8118774
1,25,1,14.7080597,68.54544178,508.2329848
1,26,1,14.66647781,67.77134487,498.0292545
1,27,1,14.7761952,69.93745123,501.0359508
1,28,1,14.93227236,74.7028491,502.3488771
1,29,0,14.81020563,76.60285329,503.2344602
1,30,0,14.80625324,76.54009173,511.8807672
1,31,0,14.71436321,76.16068034,520.8330797
1,32,0,14.62070544,76.36831416,510.8418323
1,33,0,14.61783506,78.67179832,500.4259665
1,34,0,14.62602924,75.97852729,489.608872
1,35,0,14.60922469,77.95421408,494.7865659
1,36,0,14.7582257,78.28604103,490.3966605
1,37,0,14.83257928,76.64840752,496.5762725
1,38,0,14.83397244,77.04511702,498.8069924
1,39,0,14.85495764,76.88206892,519.0171746
1,40,0,14.91702663,75.136733,515.868829
1,41,0,14.83652302,74.36463051,499.1913192
1,42,0,14.8895479,75.74769354,495.5131968
1,43,0,14.92147732,76.63016065,502.653332
1,44,0,14.87295907,78.57402525,491.105842
1,45,0,14.87049424,76.3870763,491.4261371
1,46,0,14.67877039,77.34987727,494.8487568
1,47,0,14.82833439,76.36369621,498.9649662
1,48,0,14.77478516,77.90449254,497.3095858
1,49,0,14.86359817,74.80298495,498.4239261
1,50,0,14.84840242,75.93032532,490.0074734
1,51,0,14.79422799,73.48066621,483.3872137
1,52,0,14.84401746,72.77732135,490.6320768
1,53,0,14.72643306,74.40465091,487.0227746
1,54,0,14.65549289,76.75739451,493.4001338
1,55,0,14.58446281,75.51061514,490.8449086
1,56,0,14.58691084,74.62737773,503.7512052
1,57,0,14.59961634,74.55976346,500.025343
1,58,0,14.55689682,75.15640744,499.0918751
1,59,0,14.65062863,73.57413006,503.8848441
1,60,0,14.75984575,73.13664177,501.0185852
2,1,0,14.74666089,75.31299194,499.5113045
2,2,0,14.69011949,75.82879719,497.8050806
2,3,0,14.56148491,76.18139214,487.5754851
2,4,0,14.67864058,74.18456153,495.0820214
2,5,0,14.81045286,73.78774239,491.8111277
2,6,0,14.75235479,73.6998322,494.2404292
2,7,0,14.72051653,74.8007958,494.0565938
2,8,0,14.78294457,72.54713845,503.8269094
2,9,0,14.75197025,75.33810773,505.3724519
2,10,0,14.70398746,74.64543252,512.7039588
2,11,0,14.65539732,73.06458129,505.3301572
2,12,0,14.51575139,74.99222971,503.6517496
2,13,0,14.53987149,75.51779165,505.0955917
2,14,0,14.38117513,78.02102503,496.2663015
2,15,0,14.35313277,78.91880179,495.298462
2,16,0,14.46810719,75.50220437,494.5403559
2,17,0,14.51413331,73.09550611,497.9457862
2,18,0,14.67346386,76.57810154,490.8383281
2,19,0,14.64791193,79.85568799,498.7564656
2,20,0,14.49821217,80.18885532,503.8532168
2,21,0,14.50525684,78.21187256,499.8011974
2,22,0,14.729124,79.22852985,501.3192378
2,23,0,14.73712601,78.88590799,502.4598292
2,24,0,14.62985762,80.29550986,502.6844893
2,25,1,14.84701742,78.50962957,513.4400736
2,26,1,14.86056977,74.53556653,503.6858999
2,27,1,14.90320316,74.58306177,507.928331
2,28,1,14.79463894,74.28879963,494.0063589
2,29,1,14.75384453,73.07314277,490.9469051
2,30,1,14.59427854,76.43507299,490.4663925
2,31,1,14.58299751,77.07395298,504.0634901
2,32,1,14.72720218,74.9794501,503.5801555
2,33,1,14.93910864,73.44471197,511.2118568
2,34,1,14.75060261,71.79016463,507.4780761
2,35,1,14.63428807,74.75205326,500.1427487
2,36,1,14.7130519,75.30692233,507.777404
2,37,1,14.83065462,72.98977061,499.1237291
2,38,1,14.80373707,70.36609893,500.7010587
2,39,1,14.85606239,70.94818681,495.1578613
2,40,0,14.65999853,73.81966121,492.3689884
2,41,0,14.48789409,77.41342594,485.2972144
2,42,0,14.53075354,77.13232666,495.4281831
2,43,0,14.48905668,78.26957903,492.9630168
2,44,0,14.54146101,76.09219456,491.6745412
2,45,0,14.50750654,72.28402597,496.4419101
2,46,0,14.46377166,75.13805468,486.7618742
2,47,0,14.54926582,72.18269851,501.3762545
2,48,0,14.50106331,70.86653727,512.7870437
2,49,0,14.56843155,71.29009302,504.1012189
2,50,0,14.50135321,72.32474281,502.415456
2,51,0,14.55794926,74.27996285,500.6000216
2,52,0,14.63399847,74.44494142,500.2648992
2,53,0,14.72696172,72.93686521,501.1583739
2,54,0,14.78110008,75.99924837,503.0545514
2,55,0,14.71602919,76.88646832,506.8469819
2,56,0,14.6510287,77.15814373,502.5025632
2,57,0,14.70156014,78.10818437,505.0024829
2,58,0,14.68775611,77.77861392,507.1844274
2,59,0,14.64083368,75.74673007,510.1520057
2,60,0,14.65895769,74.28600013,498.1565745
3,1,0,14.62697273,75.9779773,505.4914387
3,2,0,14.58935588,76.70954936,510.7564871
3,3,0,14.45005197,77.04377218,504.1305992
3,4,0,14.59376152,77.06105557,502.5923124
3,5,0,14.71245912,75.93732602,506.1337452
3,6,0,14.6939899,75.60657888,503.8698799
3,7,0,14.63803653,74.23766424,502.7317467
3,8,0,14.69723009,75.6383189,506.570898
3,9,0,14.64236539,72.96372475,503.2172255
3,10,0,14.67862235,74.02868227,501.5162429
3,11,0,14.71583877,75.27393112,495.5276472
3,12,0,14.65251273,76.84094072,493.8731912
3,13,0,14.5665987,76.77233123,493.199814
3,14,0,14.76535755,75.74078727,494.9318792
3,15,0,14.74261575,76.66640788,504.3316325
3,16,0,14.62071898,77.8888849,495.1192374
3,17,0,14.68612609,73.81073728,500.9632153
3,18,1,14.82489876,73.73031187,494.1523155
3,19,1,15.02076905,72.41271923,503.0632236
3,20,0,15.07221451,74.82448343,503.6529938
3,21,0,15.00143532,73.14325936,499.2762938
3,22,0,14.71947553,74.17891524,503.6534001
3,23,0,14.70558249,74.41007414,499.5640119
3,24,0,14.73200256,75.35066143,495.2554437
3,25,0,14.51965389,73.06420492,493.2532856
3,26,0,14.46882624,74.52200758,494.6952819
3,27,0,14.51107495,78.11413423,500.5611216
3,28,0,14.43445948,78.62047821,498.3408605
3,29,0,14.51896646,75.94884358,503.9197426
3,30,0,14.5199865,74.21830397,503.7467331
3,31,0,14.61392681,74.65066347,503.4445881
3,32,0,14.60049755,74.48925685,504.1875578
3,33,0,14.71147493,75.97791462,497.3991658
3,34,0,14.8653931,76.57055424,500.8469134
3,35,0,14.83306995,75.68113882,499.8164923
3,36,0,14.66748566,78.27524342,496.0180198
3,37,0,14.52961606,77.8927592,496.1703431
3,38,0,14.69330032,75.37451431,501.9749384
3,39,0,14.49550955,76.59826269,504.2488393
3,40,0,14.49760402,75.42403998,500.4757014
3,41,0,14.48641369,75.34426079,504.7791187
3,42,0,14.52887126,75.82350596,494.3083355
3,43,0,14.67941147,73.52627627,497.9138279
3,44,0,14.75199702,72.10034956,497.6789352
3,45,0,14.68412563,74.75963834,492.5349791
3,46,0,14.68155859,75.01264847,502.1839683
3,47,0,14.67374909,75.96408274,509.7120906
3,48,0,14.64703398,74.61842281,505.3832831
3,49,0,14.50771713,76.25755103,492.2147367
3,50,0,14.54674736,76.10140877,488.5337539
3,51,0,14.65456639,76.66161798,490.1477306
3,52,0,14.52251104,77.31735751,481.261632
3,53,0,14.48134837,76.60042866,489.9634664
3,54,0,14.55677237,77.87665391,493.8062668
3,55,0,14.61662559,74.38502926,494.0789558
3,56,0,14.61587449,75.66084817,492.6773029
3,57,0,14.53543228,75.07149309,494.8530526
3,58,0,14.52154238,76.89204201,491.8189283
3,59,0,14.69914769,74.24487204,505.638565
3,60,0,14.66443169,74.53480368,513.1109198
4,1,0,14.66657588,71.93009302,491.8826016
4,2,0,14.84718462,73.57099372,482.7123678
4,3,0,14.75538224,77.87451688,481.7629848
4,4,0,14.58272247,77.46973111,483.0539001
4,5,0,14.63685199,75.42777543,490.4180543
4,6,0,14.63647772,72.86198427,500.6613265
4,7,0,14.57225073,73.40549178,505.0985762
4,8,0,14.66959451,74.34685784,509.5776392
4,9,0,14.50748872,72.45370557,501.4262281
4,10,0,14.60416958,71.96195139,499.6887446
4,11,0,14.63943166,72.47430023,504.47934
4,12,0,14.57188693,73.20275917,495.6952991
4,13,0,14.59527129,71.75909777,499.9620551
4,14,0,14.40850568,71.78135179,498.3388621
4,15,0,14.57158653,71.39428834,510.0398748
4,16,0,14.66194159,71.84299102,495.9927184
4,17,0,14.91245372,71.69400803,497.1649074
4,18,0,14.86988866,73.07130644,493.6542613
4,19,0,14.83076384,73.78850136,496.0449379
4,20,0,14.72388147,76.27473881,501.0765677
4,21,0,14.81241744,75.83301292,506.2576883
4,22,0,14.8020524,76.86908643,505.7953933
4,23,0,14.71584619,74.16416486,510.2067501
4,24,0,14.74408094,73.95196489,510.4377991
4,25,1,14.76263284,72.86452128,500.0174563
4,26,1,14.72347346,72.03421995,492.5174226
4,27,1,14.71397801,74.47259542,496.9350402
4,28,1,14.97568817,71.12518514,501.8562674
4,29,1,14.77000153,72.11955003,488.3888008
4,30,1,14.70752192,71.5356598,493.1855342
4,31,1,14.84456917,70.91538947,500.6201727
4,32,1,14.64222483,72.88855341,494.1993152
4,33,1,14.51589686,73.60654834,487.3349906
4,34,1,14.70414635,72.59033758,498.1314939
4,35,1,14.63842476,73.94910387,493.5188813
4,36,0,14.6770176,72.84172487,495.252342
4,37,0,14.70590311,72.37242733,497.4822664
4,38,0,14.72600614,76.39979745,485.6932706
4,39,0,14.78356955,76.40578253,482.7508054
4,40,0,14.79280931,76.34841455,497.7404874
4,41,0,14.46294976,74.9605315,496.9282502
4,42,0,14.4960588,71.9536047,501.0466329
4,43,0,14.56399938,73.42607623,501.5263958
4,44,0,14.60599661,76.16583222,501.3467042
4,45,0,14.59365718,72.50213079,498.7592156
4,46,0,14.60969802,74.53983452,500.3694374
4,47,0,14.59758526,74.53607457,504.2647625
4,48,0,14.55404998,75.17610414,504.6968681
4,49,0,14.59963906,72.67529681,506.7010154
4,50,0,14.57470566,72.98630036,500.4061641
4,51,0,14.62757675,74.75322934,505.1866975
4,52,0,14.62167292,75.01312367,494.0436547
4,53,0,14.74087409,71.03400183,512.4921815
4,54,0,14.8453773,73.28172921,507.9040031
4,55,0,14.71530934,72.71571381,490.3253785
4,56,0,14.6998614,71.87089437,491.1052868
4,57,0,14.5231828,71.99589372,484.4476684
4,58,0,14.50698219,71.96930429,492.0902571
4,59,0,14.51071059,75.94175168,483.70927
4,60,0,14.70077996,74.32263401,497.8898655
5,1,0,14.54543253,74.28653532,486.3055488
